ControlTitle,ControlName,ControlSet,ControlDomain,ControlSources,ControlDescription,TestingInformation,ControlStatus,ControlImportantText,EvidenceExtractionDetail,RemediationText,EvidenceCollectionType,Events,TemplateName,TemplateTitle,TemplateDescription,TemplateNecessity,TemplateOverview,TemplateStatus,TemplateLogo,ComplianceStandard,VendorName,VendorContactDetails
Data Security 2.1.1 -  Customer Data Ingested (Requires manual attestation),Everest Manual - DS 2.1.1,Data Security,Data security and privacy,Manual,Create a list of data needed from customers for product functionality.,,ACTIVE,,Describe all data consumed from customers. Specify if sensitive or confidential data is consumed.,,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.2.1 - Data Storage Location (Requires manual attestation),Everest Manual - DS 2.2.1,Data Security,Data security and privacy,Manual,Where is customer data stored? List the countries and Regions where data is stored.,,ACTIVE,,Specify the list of countries and Regions where data is stored.,,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.3.1 - Access Control - Employee Access (Requires manual attestation),Everest Manual - DS 2.3.1,Data Security,Data security and privacy,Manual,Do employees have access to unencrypted customer data?,,ACTIVE,,"Specify if employees have access to unencrypted customer data. If yes, explain briefly why they need access. If no, explain briefly how you control access.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.3.2 - Access Control - Mobile Application (Requires manual attestation),Everest Manual - DS 2.3.2,Data Security,Data security and privacy,Manual,Can customers access their data through mobile application?,,ACTIVE,,"Specify if customers can access their data using a mobile application. If yes, provide more details. How do customers sign in? Are credentials cached by the application? How often are tokens refreshed?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.3.3 - Access Control - Countries Data is Transmitted to (Requires manual attestation),Everest Manual - DS 2.3.3,Data Security,Data security and privacy,Manual,Is customer data transmitted to countries outside the origin?,,ACTIVE,,"Is customer data transmitted to countries outside the origin? If yes, specify the list of countries where customer data is transmitted or received.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.3.4 - Access Control - Is Data Shared with Third Party Vendors (Requires manual attestation),Everest Manual - DS 2.3.4,Data Security,Data security and privacy,Manual,Is customer data shared with third-party vendors (other than cloud service providers)?,,ACTIVE,,"Is customer data shared with third-party vendors? If yes, specify the list of third-party vendors and their countries or Region where you provide customer data.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.3.5 - Access Control - Security Policy related to Third Party Vendors,Everest Manual - DS 2.3.5,Data Security,Data security and privacy,Manual,"Do you have policies/procedures in place to ensure that third-party vendors maintain the confidentiality, availability, and integrity of customer data?",,ACTIVE,,"Specify if you have policies/procedures in place to ensure that third-party vendors maintain the confidentiality, availability and integrity of customer data. If yes, upload a manual or document of it.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.4.1 - Data Encryption - Data Encryption at Rest,Everest Manual - DS 2.4.1,Data Security,Data security and privacy,Manual,Is all data encrypted at rest?,,ACTIVE,,Specify if all data is encrypted at rest.,,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.4.2 - Data Encryption - Data Encryption in Transit,Everest Manual - DS 2.4.2,Data Security,Data security and privacy,Manual,Is all data encrypted in-transit?,,ACTIVE,,Specify if all data is encrypted in-transit.,,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.4.3 - Data Encryption - Strong Algorithms (Requires manual attestation),Everest Manual - DS 2.4.3,Data Security,Data security and privacy,Manual,Do you use strong encryption algorithms?,,ACTIVE,,"Do you use strong encryption algorithms? If yes, specify what encryption algorithms (such as, RSA, AES 256) are used.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.4.4 - Data Encryption - Unique Encryption Key (Requires manual attestation),Everest Manual - DS 2.4.4,Data Security,Data security and privacy,Manual,Are clients provided with the ability to generate a unique encryption key?,,ACTIVE,,"Can clients provide or generate their own unique encryption keys? If yes, please provide more details and upload evidence.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.4.5 - Data Encryption - Encryption Keys Access (Requires manual attestation),Everest Manual - DS 2.4.5,Data Security,Data security and privacy,Manual,Are staff prevented from accessing client's encryption keys?,,ACTIVE,,"Specify if your employees are prevented from accessing client's encryption keys. If no, explain why they have access to customer keys. If yes, explain how access is controlled.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.5.1 - Data Storage and Classification - Data Backup,Everest Manual - DS 2.5.1,Data Security,Data security and privacy,Manual,Do you back up customer data?,,ACTIVE,,"Specify if you back up customer data. If yes, describe your back up policy (including details about how often backup occurs, where the backup is stored, backup encryption and redundancy.)",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.5.2 - Data Storage and Classification - Data Access Control Policy,Everest Manual - DS 2.5.2,Data Security,Data security and privacy,Manual,Do you implement appropriate access controls for stored customer data? Provide your access control policies.,,ACTIVE,,Specify if appropriate access controls (such as RBAC) is implemented for stored customer data. Please provide more details and manual evidence on how you control access to the data.,,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.5.3 - Data Storage and Classification - Transaction Data (Requires manual attestation),Everest Manual - DS 2.5.3,Data Security,Data security and privacy,Manual,Is the customer's transaction details (such as payment card information and information about the groups conducting transactions) stored in a perimeter zone?,,ACTIVE,,"Specify if the customer's transaction details (such as payment card information and information about the groups conducting transactions) will be stored in a perimeter zone. If yes, please explain why it gets stored.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.5.4 - Data Storage and Classification - Information Classification,Everest Manual - DS 2.5.4,Data Security,Data security and privacy,Manual,"Is customer data classified according to legal or regulatory requirements, business value, and sensitivity to unauthorized disclosure or modification?",,ACTIVE,,"Specify if customer data is classified by sensitivity. If yes, upload manual evidence of this classification.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.5.5 - Data Storage and Classification - Data Segmentation (Requires manual attestation),Everest Manual - DS 2.5.5,Data Security,Data security and privacy,Manual,Is data segmentation and separation capability between clients provided?,,ACTIVE,,"Specify if the different client's data is segmented. If no, explain mechanisms you have to protect cross contamination.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.6.1 - Data Retention (Requires manual attestation),Everest Manual - DS 2.6.1,Data Security,Data security and privacy,Manual,How long do you retain data?,,ACTIVE,,"Specify the duration of data retention. If the retention period differs by data classification and sensitivity, can you provide details on each retention period?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.6.2 - Data Retention after Client's Unsubscribe (Requires manual attestation),Everest Manual - DS 2.6.2,Data Security,Data security and privacy,Manual,How long do you retain data after buyers unsubscribe?,,ACTIVE,,Specify the duration of data retention after customers unsubscribe.,,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Audit and Compliance 1.1.1 - Certifications Completed (Requires manual attestation),Everest Manual - Cert 1.1.1,Audit and Compliance,Governance and oversight,Manual,List certifications you have.,,ACTIVE,,Specify which certifications you have.,,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Audit and Compliance 1.2.1 - Certification in Progress (Requires manual attestation),Everest Manual - Cert 1.2.1,Audit and Compliance,Governance and oversight,Manual,List additional certificates that are currently in progress.,,ACTIVE,,List any additional certificates that are currently being audited/reviewed with an estimated completion date.,,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Audit and Compliance 1.3.1 - Procedures ensuring Compliance - Procedures ensuring Compliance,Everest Manual - Cert 1.3.1,Audit and Compliance,Governance and oversight,Manual,"Do you have a policy/procedure to ensure compliance with applicable legislative, regulatory, and contractual requirements?",,ACTIVE,,"Specify if you have a policy/procedure to ensure compliance with applicable legislative, regulatory and contractual requirements. If yes, list details about the procedure and upload manual evidence.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Audit and Compliance 1.3.2 - Procedures ensuring Compliance - Audits to Track Outstanding Requirements,Everest Manual - Cert 1.3.2,Audit and Compliance,Governance and oversight,Manual,Are audits completed to track outstanding regulatory and compliance requirements?,,ACTIVE,,"Specify if audits are done to track outstanding requirements. If yes, provide details.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Audit and Compliance 1.3.3 - Procedures ensuring Compliance - Deviations and Exceptions (Requires manual attestation),Everest Manual - Cert 1.3.3,Audit and Compliance,Governance and oversight,Manual,Do you have a process to handle deviations and exceptions from compliance requirements?,,ACTIVE,,"Specify if there is a process to handle exceptions or deviations from compliance requirements. If yes, provide details.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Security and Configuration Policy 10.1.1 - Policies for Information Security - Information Security Policy,Everest Manual - SP 10.1.1,Security and Configuration Policy,Governance and oversight,Manual,Do you have an information security policy that is owned and maintained by a security team?,,ACTIVE,,"Specify if you have a information security policy. If yes, share or upload a manual evidence.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Security and Configuration Policy 10.1.2 - Policies for Information Security - Policy Review,Everest Manual - SP 10.1.2,Security and Configuration Policy,Governance and oversight,Manual,Are all security policies reviewed annually?,,ACTIVE,,"Specify if security policies are reviewed annually. If no, how often are the policies reviewed?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Security and Configuration Policy 10.2.1 - Policies for Security Configurations - Security Configurations (Requires manual attestation),Everest Manual - SP 10.2.1,Security and Configuration Policy,Governance and oversight,Manual,Are security configuration standards maintained and documented?,,ACTIVE,,"Specify if all security configuration standards are maintained and documented. If yes, share or upload a manual evidence.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Security and Configuration Policy 10.2.2 - Policies for Security Configurations - Security Configurations Review (Requires manual attestation),Everest Manual - SP 10.2.2,Security and Configuration Policy,Governance and oversight,Manual,Are security configurations reviewed at least annually?,,ACTIVE,,"Specify if security configurations are reviewed at least annually. If no, specify the frequency of review.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Security and Configuration Policy 10.2.3 - Policies for Security Configurations - Changes to Configurations,Everest Manual - SP 10.2.3,Security and Configuration Policy,Governance and oversight,Manual,Are changes to configurations logged?,,ACTIVE,,"Specify if configuration changes are logged. If yes, how long are the logs retained?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.1.1 - Secure Authentication - Personal Data in UserId (Requires manual attestation),Everest Manual - AC 3.1.1,Access Management,Identity and access management,Manual,Do you require personal data (other than name or email address) in the user ID?,,ACTIVE,,"Specify if personal data, other than name or email address, is required as a part of the user identifier. If yes, what data will be used? What use case is it used for?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.1.2 - Secure Authentication - Application Supports Two Factor Authentication (Requires manual attestation),Everest Manual - AC 3.1.2,Access Management,Identity and access management,Manual,Does the application support two-factor authentication?,,ACTIVE,,"Specify if two-factor authentication (2FA) can be used with the application. If yes, what tools can be used for 2FA?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.1.3 - Secure Authentication - Account Lockout (Requires manual attestation),Everest Manual - AC 3.1.3,Access Management,Identity and access management,Manual,Is the customer's account locked if there are multiple failed logins?,,ACTIVE,,"Specify if account lockout is enabled if there are multiple failed logins. If yes, specify the number of tries after which account will be locked out.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.2.1 - Credential Management - Password Policy,Everest Manual - AC 3.2.1,Access Management,Identity and access management,Manual,Does the application have a strong password policy?,,ACTIVE,,"Specify if a strong password policy (such as RequireUppercaseCharacters, RequireSymbols, PasswordReusePrevention, etc) is present.",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.2.2 - Credential Management - Password Encryption,Everest Manual - AC 3.2.2,Access Management,Identity and access management,Manual,Does the password policy require credentials (password and userid) to be encrypted in-transit and to be hashed with salt when stored?,,ACTIVE,,"Specify if credentials (password and userid) are encrypted in-transit and when stored, is the password hashed with salt. If yes, can you provide more details?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.2.3 - Credential Management - Secret Management,Everest Manual - AC 3.2.3,Access Management,Identity and access management,Manual,Do you use a secret management service?,,ACTIVE,,"Specify if there is a secret management in place. If yes, can you provide more details?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.2.4 - Credential Management - Credentials in Code (Requires manual attestation),Everest Manual - AC 3.2.4,Access Management,Identity and access management,Manual,Are credentials included in the code?,,ACTIVE,,"Specify if credentials are included in the code. If yes, can you provide more details?",,MANUAL,"{""events"": []}",Third Party Software Risk Assessment Template,Third Party Software Risk Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
