ControlTitle,ControlName,ControlSet,ControlSources,ControlDescription,TestingInformation,ControlStatus,ControlImportantText,EvidenceExtractionDetail,RemediationText,EvidenceCollectionType,Events,TemplateName,TemplateTitle,TemplateDescription,TemplateNecessity,TemplateOverview,TemplateStatus,TemplateLogo,ComplianceStandard,VendorName,VendorContactDetails
Data Security 2.4.1 - Data Encryption - Data Encryption at Rest and in Transit,Everest Automated - DS 2.4.1,Data Security,AWS Config,Are all data encrypted at rest and in transit?,,ACTIVE,,"Specify if all data is encrypted at rest and in transit. If yes, describe encryption configuration.  

 AWS Config Rule(s):
 
API_GW_CACHE_ENABLED_AND_ENCRYPTED
CLOUD_TRAIL_ENCRYPTION_ENABLED
CLOUDWATCH_LOG_GROUP_ENCRYPTED
EFS_ENCRYPTED_CHECK
ELASTICSEARCH_ENCRYPTED_AT_REST
ENCRYPTED_VOLUMES
RDS_STORAGE_ENCRYPTED
REDSHIFT_CLUSTER_CONFIGURATION_CHECK
S3_BUCKET_SERVER_SIDE_ENCRYPTION_ENABLED
SAGEMAKER_ENDPOINT_CONFIGURATION_KMS_KEY_CONFIGURED
SAGEMAKER_NOTEBOOK_INSTANCE_KMS_KEY_CONFIGURED
SNS_ENCRYPTED_KMS
EC2_EBS_ENCRYPTION_BY_DEFAULT
DYNAMODB_TABLE_ENCRYPTED_KMS
DYNAMODB_TABLE_ENCRYPTION_ENABLED
RDS_SNAPSHOT_ENCRYPTED
S3_DEFAULT_ENCRYPTION_KMS
DAX_ENCRYPTION_ENABLED
EKS_SECRETS_ENCRYPTED
RDS_LOGGING_ENABLED
REDSHIFT_BACKUP_ENABLED
RDS_IN_BACKUP_PLAN
WAF_CLASSIC_LOGGING_ENABLED
WAFV2_LOGGING_ENABLED

 Show all services are encrypted in transit. 

 ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK 
ELB_ACM_CERTIFICATE_REQUIRED 
ELB_CUSTOM_SECURITY_POLICY_SSL_CHECK 
ELB_PREDEFINED_SECURITY_POLICY_SSL_CHECK 
REDSHIFT_REQUIRE_TLS_SSL 
S3_BUCKET_SSL_REQUESTS_ONLY 
CLOUDFRONT_VIEWER_POLICY_HTTPS 
ALB_HTTP_DROP_INVALID_HEADER_ENABLED 
ELASTICSEARCH_NODE_TO_NODE_ENCRYPTION_CHECK 
ELB_TLS_HTTPS_LISTENERS_ONLY 
ACM_CERTIFICATE_EXPIRATION_CHECK 
API_GW_CACHE_ENABLED_AND_ENCRYPTED  

Learn more at: https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html",,AUTOMATED,"{     ""events"": [         {             ""eventSelector"": ""CLOUD_TRAIL_ENCRYPTION_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""CLOUDWATCH_LOG_GROUP_ENCRYPTED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""EFS_ENCRYPTED_CHECK"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ELASTICSEARCH_ENCRYPTED_AT_REST"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ENCRYPTED_VOLUMES"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""RDS_STORAGE_ENCRYPTED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""REDSHIFT_CLUSTER_CONFIGURATION_CHECK"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""S3_BUCKET_SERVER_SIDE_ENCRYPTION_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""SAGEMAKER_ENDPOINT_CONFIGURATION_KMS_KEY_CONFIGURED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""SAGEMAKER_NOTEBOOK_INSTANCE_KMS_KEY_CONFIGURED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""SNS_ENCRYPTED_KMS"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""EC2_EBS_ENCRYPTION_BY_DEFAULT"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""DYNAMODB_TABLE_ENCRYPTED_KMS"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""DYNAMODB_TABLE_ENCRYPTION_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""RDS_SNAPSHOT_ENCRYPTED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""S3_DEFAULT_ENCRYPTION_KMS"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""DAX_ENCRYPTION_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""EKS_SECRETS_ENCRYPTED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""RDS_LOGGING_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""REDSHIFT_BACKUP_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""RDS_IN_BACKUP_PLAN"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""WAF_CLASSIC_LOGGING_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""WAFV2_LOGGING_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ELB_ACM_CERTIFICATE_REQUIRED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ELB_CUSTOM_SECURITY_POLICY_SSL_CHECK"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""REDSHIFT_REQUIRE_TLS_SSL"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""CLOUDFRONT_VIEWER_POLICY_HTTPS"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ALB_HTTP_DROP_INVALID_HEADER_ENABLED"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ELASTICSEARCH_NODE_TO_NODE_ENCRYPTION_CHECK"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ELB_TLS_HTTPS_LISTENERS_ONLY"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""ACM_CERTIFICATE_EXPIRATION_CHECK"",             ""eventSourceName"": ""CloudTrail-Config""         },         {             ""eventSelector"": ""API_GW_CACHE_ENABLED_AND_ENCRYPTED"",             ""eventSourceName"": ""CloudTrail-Config""         }     ] }",Third Party Software Risk  Automated Assessment  Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.4.3 - Data Encryption - Unique Encryption Key,Everest Automated - DS 2.4.3,Data Security,AWS Config,Are clients provided with the ability to generate a unique encryption key?,,ACTIVE,,"Can clients provide/generate their own unique encryption keys? If yes, please provide more details/upload evidence. 

 AWS Config : 
 cmk-backing-key-rotation-enabled Customer master key (CMK) rotation should be enabled Ensure rotation for customer created CMKs is enabled AWS Config

From Console: 
 1. Sign in to the AWS Management Console and open the IAM console at https://console.aws.amazon.com/iam. 
 2. In the left navigation pane, choose Encryption Keys . 
 3. Select a customer created master key (CMK) 
 4. Under the Key Policy section, move down to Key Rotation . 
 5. Ensure the Rotate this key every year checkbox is checked.
 From Command Line: 
 1. Run the following command to get a list of all keys and their associated KeyIds aws kms list-keys 
 2. For each key, note the KeyId and run the following command aws kms get-key-rotation-status --key-id 
3. Ensure KeyRotationEnabled is set to true

AWS Config Rule(s): 
CMK_BACKING_KEY_ROTATION_ENABLED
Learn more at: https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html",,AUTOMATED,"{ ""events"": [ { ""eventSelector"": ""CMK_BACKING_KEY_ROTATION_ENABLED"", ""eventSourceName"": ""CloudTrail-Config"" }]}",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.5.1 - Data Storage & Classification - Data Backup,Everest Automated - DS 2.5.1,Data Security,AWS Config,Do you back up customer data?,,ACTIVE,,"Specify if you back up customer data. If yes, describe backup configuration. 

 AWS Config Rule(s): 
  DB_INSTANCE_BACKUP_ENABLED 
DYNAMODB_PITR_ENABLED EBS_OPTIMIZED_INSTANCE 
ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK 
S3_BUCKET_REPLICATION_ENABLED 
S3_BUCKET_VERSIONING_ENABLED 
DYNAMODB_IN_BACKUP_PLAN EBS_IN_BACKUP_PLAN 
EFS_IN_BACKUP_PLAN REDSHIFT_BACKUP_ENABLED 
RDS_IN_BACKUP_PLAN S3_BUCKET_REPLICATION_ENABLED 

 Learn more at: https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html",,AUTOMATED,"{ ""events"": [ { ""eventSelector"": ""DB_INSTANCE_BACKUP_ENABLED"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""DYNAMODB_PITR_ENABLED"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""EBS_OPTIMIZED_INSTANCE"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""S3_BUCKET_REPLICATION_ENABLED"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""S3_BUCKET_VERSIONING_ENABLED"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""DYNAMODB_IN_BACKUP_PLAN"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""EBS_IN_BACKUP_PLAN"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""EFS_IN_BACKUP_PLAN"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""REDSHIFT_BACKUP_ENABLED"", ""eventSourceName"": ""CloudTrail-Config"" }, { ""eventSelector"": ""RDS_IN_BACKUP_PLAN"", ""eventSourceName"": ""CloudTrail-Config"" }, {            ""eventSelector"": ""AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""DYNAMODB_AUTOSCALING_ENABLED"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""RDS_MULTI_AZ_SUPPORT"",            ""eventSourceName"": ""CloudTrail-Config""        }   ] }",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Data Security 2.5.2 - Data Storage & Classification - Data Access Control Policy,Everest Automated - DS 2.5.2,Data Security,"API Calls, AWS Config",Do you implement appropriate access controls for stored customer data? Provide your access control policies,,ACTIVE,,"Specify/Establish if appropriate access controls for stored customer data is implemented. 

  IAM:
1: ListRoles, ListRolePolicies, GetRolePolicy
2: ListUsers, ListUserPolicies, GetUserPolicy
3: ListGroups, ListGroupPolicies, GetGroupPolicy

CognitoListUser* and ListGroups from https://docs.aws.amazon.com/cognito-user-identity-pools/latest/APIReference/API_AdminListUserAuthEvents.html
List all bucket policies
RDS not public
List all Principals and their associated policies

AWS Config Rule(s): 
DMS_REPLICATION_NOT_PUBLIC
EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK
EC2_INSTANCE_NO_PUBLIC_IP
ELASTICSEARCH_IN_VPC_ONLY
EMR_KERBEROS_ENABLED
EMR_MASTER_NO_PUBLIC_IP
IAM_GROUP_HAS_USERS_CHECK
IAM_POLICY_NO_STATEMENTS_WITH_ADMIN_ACCESS
IAM_USER_GROUP_MEMBERSHIP_CHECK
IAM_USER_NO_POLICIES_CHECK
RDS_INSTANCE_PUBLIC_ACCESS_CHECK
RDS_SNAPSHOTS_PUBLIC_PROHIBITED
REDSHIFT_CLUSTER_PUBLIC_ACCESS_CHECK
S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS
S3_BUCKET_POLICY_GRANTEE_CHECK
S3_BUCKET_PUBLIC_READ_PROHIBITED
S3_BUCKET_PUBLIC_WRITE_PROHIBITED
SAGEMAKER_NOTEBOOK_NO_DIRECT_INTERNET_ACCESS

Learn more at: https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html",,AUTOMATED,"{     ""events"": [ {            ""eventSelector"": ""DMS_REPLICATION_NOT_PUBLIC"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""EC2_INSTANCE_NO_PUBLIC_IP"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""ELASTICSEARCH_IN_VPC_ONLY"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""EMR_KERBEROS_ENABLED"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""EMR_MASTER_NO_PUBLIC_IP"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""IAM_GROUP_HAS_USERS_CHECK"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""IAM_POLICY_NO_STATEMENTS_WITH_ADMIN_ACCESS"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""IAM_USER_GROUP_MEMBERSHIP_CHECK"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""IAM_USER_NO_POLICIES_CHECK"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""RDS_INSTANCE_PUBLIC_ACCESS_CHECK"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""RDS_SNAPSHOTS_PUBLIC_PROHIBITED"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""REDSHIFT_CLUSTER_PUBLIC_ACCESS_CHECK"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""S3_BUCKET_POLICY_GRANTEE_CHECK"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""S3_BUCKET_PUBLIC_READ_PROHIBITED"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""S3_BUCKET_PUBLIC_WRITE_PROHIBITED"",            ""eventSourceName"": ""CloudTrail-Config""        },   {            ""eventSelector"": ""SAGEMAKER_NOTEBOOK_NO_DIRECT_INTERNET_ACCESS"",            ""eventSourceName"": ""CloudTrail-Config""        },       {             ""eventSelector"": ""iam_ListRoles"",             ""eventSourceName"": ""S2S"",             ""eventInputConfig"": {                 ""Action"": ""listRoles"",                  ""Service"": ""iam""                }         },        {             ""eventSelector"": ""iam_ListUsers"",             ""eventSourceName"": ""S2S"",             ""eventInputConfig"": {                 ""Action"": ""listUsers"",                  ""Service"": ""iam""                }         },        {             ""eventSelector"": ""iam_ListGroups"",             ""eventSourceName"": ""S2S"",             ""eventInputConfig"": {                 ""Action"": ""listGroups"",                  ""Service"": ""iam""                }         },        {             ""eventSelector"": ""iam_ListPolicies"",             ""eventSourceName"": ""S2S"",             ""eventInputConfig"": {                 ""Action"": ""listPolicies"",                  ""Service"": ""iam""                }         }     ] }",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Security & Configuration Policy 10.2.3 - Policies for Security Configurations - Changes to Configurations,Everest Automated - SP 10.2.3,Security & Configuration Policy,"Security Hub, API Calls",Are changes to configurations logged?,,ACTIVE,,"Specify if configuration changes are logged.   

Security Hub/Cloud watch :  
Ensure a log metric filter and alarm exist for AWS Config configuration changes.
 Ensure a log metric filter and alarm exist for CloudTrail configuration changes.

Perform the following to ensure that there is at least one active multi-region CloudTrail with prescribed metric filters and alarms configured:
  1. Identify the log group name configured for use with active multi-region CloudTrail:   
List all CloudTrail(s): aws cloudtrail describe-trails   
Identify Multi region Cloudtrails: Trails with ""IsMultiRegionTrail"" set to true 
  From value associated with CloudWatchLogsLogGroupArn note  cloudtrail_log_group_name  
  Example: for CloudWatchLogsLogGroupArn that looks like arn:aws:logs: region : aws_account_number :log-group:NewGroup:*,  cloudtrail_log_group_name  would be NewGroup   
Ensure Identified Multi region CloudTrail is active   
aws cloudtrail get-trail-status --name  Name of a Multi-region CloudTrail  
ensure IsLogging is set to TRUE   Ensure identified Multi-region Cloudtrail captures all Management Events
aws cloudtrail get-event-selectors --trail-name  trailname shown in describe-trails  Ensure there is at least one Event Selector for a Trail with IncludeManagementEvents set to true and ReadWriteType set to All 
2. Get a list of all associated metric filters for this  cloudtrail_log_group_name : aws logs describe-metric-filters --log-group-name "" cloudtrail_log_group_name ""   
3. Ensure the output from the above command contains the following: ""filterPattern"": ""{ ($.eventName = CreateTrail) || ($.eventName = UpdateTrail) || ($.eventName = DeleteTrail) || ($.eventName = StartLogging) || ($.eventName = StopLogging) }"" 
4. Note the  cloudtrail_cfg_changes_metric  value associated with the filterPattern found in step 3. 
  5. Get a list of CloudWatch alarms and filter on the  cloudtrail_cfg_changes_metric  captured in step 4. aws cloudwatch describe-alarms --query 'MetricAlarms[?MetricName== ` cloudtrail_cfg_changes_metric `]'   
6. Note the AlarmActions value - this will provide the SNS topic ARN value. 
  7. Ensure there is at least one active subscriber to the SNS topic aws sns list-subscriptions-by-topic --topic-arn  sns_topic_arn 
   at least one subscription should have ""SubscriptionArn"" with valid aws ARN. Example of valid ""SubscriptionArn"": ""arn:aws:sns: region : aws_account_number : SnsTopicName : SubscriptionID "" 
  Ensure a log metric filter and an alarm exists for AWS CloudTrail configuration changes. 
For further details on the auditing of this control please refer to the CIS Amazon Web Services Foundations Benchmark version 1.3.0 document available at https://www.cisecurity.org/benchmark/amazon_web_services/   Describe all CloudWatch Alarms","For remediation, learn more at: https://docs.aws.amazon.com/securityhub/latest/userguide/securityhub-cis-controls.html#securityhub-cis-controls-3.5 
For remediation, learn more at: https://docs.aws.amazon.com/securityhub/latest/userguide/securityhub-cis-controls.html#securityhub-cis-controls-3.9",AUTOMATED,"{     ""events"": [         {             ""eventSelector"": ""3.5"",             ""eventSourceName"": ""SecurityHub""         },         {             ""eventSelector"": ""3.9"",             ""eventSourceName"": ""SecurityHub""         }, {  ""eventSelector"": ""cloudwatch_DescribeAlarms"",  ""eventSourceName"": ""S2S"",  ""eventInputConfig"": {  ""Action"": ""describeAlarms"",  ""Service"": ""cloudwatch""  }  }     ] }",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.1.1 - Secure Authentication - Password Use to Access the Production Environment,Everest Automated - AC 3.1.1,Access Management,AWS Config,Do you support password based authentication to access the production environment? ,,ACTIVE,,"Specify if password authentication is enabled to access the production environment.

IAM: GetAccountPasswordPolicy

AWS Cognito: DescribeUserPool for displaying user pool policy 

",,AUTOMATED,"{
    ""events"": [
        {
            ""eventSelector"": ""IAM_PASSWORD_POLICY"",
            ""eventSourceName"": ""CloudTrail-Config""
        }
    ]
}",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.1.5 - Secure Authentication - Two Factor Authentication,Everest Automated - AC 3.1.5,Access Management,AWS Config,Is two factor authentication required to access the production/hosted environment?,,ACTIVE,,"Specify if two factor authentication (2FA) is required for access to production environment. If yes, what tool is used for 2FA?

AWS Config Rules : 
MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS",,AUTOMATED,"{
    ""events"": [
{ ""eventSelector"": ""MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS"", ""eventSourceName"": ""CloudTrail-Config"" }
    ]
}",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.1.9 - Secure Authentication - Root User MFA,Everest Automated - AC 3.1.9,Access Management,AWS Config,Does root user require multi-factor authentication (MFA)?,,ACTIVE,,"Specify if logging in as root user requires multi factor authentication. If yes, what tool is used for MFA? 

Perform the following to determine if the root user account has MFA setup: From Command Line:

1. Run the following command: aws iam get-account-summary | grep ""AccountMFAEnabled""
2. Ensure the AccountMFAEnabled property is set to 1

",,AUTOMATED,"{
    ""events"": [
        {
            ""eventSelector"": ""ROOT_ACCOUNT_MFA_ENABLED"",
            ""eventSourceName"": ""CloudTrail-Config""
        },
 {
            ""eventSelector"": ""ROOT_ACCOUNT_HARDWARE_MFA_ENABLED"",
            ""eventSourceName"": ""CloudTrail-Config""
        }
    ]
}",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.1.10 - Secure Authentication - Remote Access,Everest Automated - AC 3.1.10,Access Management,AWS Config,Is remote access permitted and is the access secure?,,ACTIVE,,"Specify if the application permits remote access. 

Learn more at : https://docs.aws.amazon.com/config/latest/developerguide/restricted-ssh.html",,AUTOMATED,"{    
 ""events"": [       
 { ""eventSelector"": ""INCOMING_SSH_DISABLED"", 
 ""eventSourceName"": ""CloudTrail-Config"" } 
]}",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
Access Management 3.2.1 - Credential Management - Password Policy,Everest Automated - AC 3.2.1,Access Management,AWS Config,Is there a strong password policy? Does the password policy require changing it at frequent intervals?,,ACTIVE,,"Specify/Establish if a strong password policy is present. Does it require password change at frequent intervals? 

AWS Config Rules : 

IAM_PASSWORD_POLICY


Learn more at: https://docs.aws.amazon.com/config/latest/developerguide/iam-password-policy.html",,AUTOMATED,"{
""events"": [
{""eventSelector"": ""IAM_PASSWORD_POLICY"", 
 ""eventSourceName"": ""CloudTrail-Config"" 
 }
]
}",Third Party Software Risk Automated Assessment Template,Third Party Software Risk Automated Assessment,Third Party Software Risk Assessment is used for gathering information required to assess risks and threats in a third party softwares. This template is a subset of the Third Party Software Risk Assessment Template. This is used to gather evidence automatically from your AWS accounts that are used for hosting your SaaS solutions.,,,ACTIVE,buyer.svg,AWS Custom Risk Asssessment,AWS,https://aws.amazon.com/marketplace/
